Account,User,JobID,Start,End,AllocCPUS,Elapsed,AllocTRES,CPUTime,AveRSS,MaxRSS MaxR,SSTask M,axRSSNode,,NodeList E,xitCode,State,,Group,Jobs
bhklab,quever,2396736,2021-05-27T18:42:21,2021-05-28T05:30:51,8,10:48:30,"billing=20,cpu=8,mem=80G,node+",3-14:28:00,,,,,,node96,0:00,COMPLETED,,,
bhklab,quever,2396737,2021-05-27T18:42:21,2021-05-28T05:48:40,8,11:06:19,"billing=20,cpu=8,mem=80G,node+",3-16:50:32,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2397245,2021-05-27T23:50:44,2021-05-27T23:50:44,3,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 26528,,,
pughlab,pluo,2397247,2021-05-27T23:51:09,2021-05-29T04:40:17,3,1-04:49:08,"billing=25,cpu=3,mem=100G,nod+",3-14:27:24,,,,,,node96,0:00,COMPLETED,,,
pughlab,hshirley,2398043,2021-05-28T14:45:42,2021-05-28T15:20:24,1,0:34:42,"billing=50,cpu=1,mem=200G,nod+",0:34:42,,,,,,node96,0:00,COMPLETED,,,
pughlab,hshirley,2398532,2021-05-28T16:13:15,2021-05-28T16:13:22,1,0:00:07,"billing=50,cpu=1,mem=200G,nod+",0:00:07,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2398533,2021-05-28T16:19:15,2021-05-28T16:21:14,1,0:01:59,"billing=50,cpu=1,mem=200G,nod+",0:01:59,,,,,,node96,0:00,COMPLETED,,,
pughlab,hshirley,2398598,2021-05-28T16:28:15,2021-05-28T16:50:42,1,0:22:27,"billing=50,cpu=1,mem=200G,nod+",0:22:27,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2398680,2021-05-28T17:15:37,2021-05-28T18:41:35,3,1:25:58,"billing=25,cpu=3,mem=100G,nod+",4:17:54,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2399072,2021-05-28T22:58:24,2021-05-29T02:58:47,3,4:00:23,"billing=25,cpu=3,mem=100G,nod+",12:01:09,,,,,,node96,1:00,FAILED,,,
pughlab,pluo,2399074,2021-05-28T23:04:28,2021-05-30T00:40:12,3,1-01:35:44,"billing=75,cpu=3,mem=300G,nod+",3-04:47:12,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2399242,2021-05-30T15:53:16,2021-06-01T14:56:38,3,1-23:03:22,"billing=75,cpu=3,mem=300G,nod+",5-21:10:06,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2399243,2021-05-30T15:55:16,2021-05-30T20:19:51,3,4:24:35,"billing=25,cpu=3,mem=100G,nod+",13:13:45,,,,,,node96,0:00,COMPLETED,,,
bhklab,lin,2400213,2021-05-31T10:25:45,2021-05-31T11:41:17,15,1:15:32,"billing=30,cpu=15,mem=120G,no+",18:53:00,13820444K,13820444K,0,node96,,node96,0:00,COMPLETED,,,
pughlab,wderek,2400217,2021-05-31T10:33:17,2021-05-31T11:47:26,1,1:14:09,"billing=90,cpu=1,mem=360G,nod+",1:14:09,,,,,,node96,0:00,COMPLETED,,,
hoffmangr+,wilsons,2400439,2021-05-31T11:41:47,2021-05-31T11:41:48,1,0:00:01,"billing=175,cpu=1,mem=700G,no+",0:00:01,,,,,,node96,2:00,FAILED,,,
hoffmangr+,wilsons,2400485,2021-05-31T12:14:17,2021-05-31T12:14:18,1,0:00:01,"billing=175,cpu=1,mem=700G,no+",0:00:01,,,,,,node96,2:00,FAILED,,,
hoffmangr+,wilsons,2400505,2021-05-31T13:07:17,2021-06-03T20:21:53,1,3-07:14:36,"billing=175,cpu=1,mem=700G,no+",3-07:14:36,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2400865,2021-05-31T21:57:24,2021-05-31T21:57:25,6,0:00:01,"billing=37,cpu=6,mem=150G,nod+",0:00:06,,,,,,node96,1:00,FAILED,,,
pughlab,pluo,2400870,2021-05-31T22:21:24,2021-05-31T22:21:26,6,0:00:02,"billing=50,cpu=6,mem=200G,nod+",0:00:12,,,,,,node96,1:00,FAILED,,,
pughlab,pluo,2400874,2021-05-31T22:27:50,2021-05-31T23:20:56,6,0:53:06,"billing=50,cpu=6,mem=200G,nod+",5:18:36,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2401247,2021-06-01T12:06:53,2021-06-01T12:28:28,6,0:21:35,"billing=25,cpu=6,mem=100G,nod+",2:09:30,,,,,,node96,1:00,FAILED,,,
pughlab,pluo,2404256,2021-06-01T15:04:40,2021-06-02T21:25:35,3,1-06:20:55,"billing=30,cpu=3,mem=120G,nod+",3-19:02:45,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2408241,2021-06-01T16:32:25,2021-06-01T16:37:34,6,0:05:09,"billing=25,cpu=6,mem=100G,nod+",0:30:54,,,,,,node96,0:00,COMPLETED,,,
pughlab,kuichen,2409628,2021-06-02T10:25:45,2021-06-02T20:56:00,12,10:30:15,"billing=125,cpu=12,mem=500G,n+",5-06:03:00,,,,,,node96,0:00,CANCELLED by 14111,,,
pughlab,pluo,2410866,2021-06-02T15:14:09,2021-06-02T15:14:09,6,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 26528,,,
pughlab,hshirley,2410821,2021-06-02T15:48:53,2021-06-02T15:48:53,1,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 25120,,,
pughlab,hshirley,2410825,2021-06-02T15:48:55,2021-06-02T15:48:55,1,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 25120,,,
pughlab,pluo,2410972,2021-06-02T15:50:42,2021-06-02T15:50:42,3,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 26528,,,
pughlab,kuichen,2409672,2021-06-02T20:57:07,2021-06-02T20:57:07,8,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 14111,,,
pughlab,kuichen,2409676,2021-06-02T20:57:40,2021-06-02T20:57:40,8,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 14111,,,
pughlab,kuichen,2411419,2021-06-02T20:58:30,2021-06-03T08:02:37,12,11:04:07,"billing=150,cpu=12,mem=600G,n+",5-12:49:24,,,,,,node96,0:00,COMPLETED,,,
pughlab,kuichen,2411423,2021-06-03T08:02:55,2021-06-03T08:10:46,12,0:07:51,"billing=150,cpu=12,mem=600G,n+",1:34:12,,,,,,node96,1:00,FAILED,,,
pughlab,kuichen,2414208,2021-06-03T10:52:25,2021-06-03T10:52:28,12,0:00:03,"billing=150,cpu=12,mem=600G,n+",0:00:36,,,,,,node96,0:00,CANCELLED by 14111,,,
pughlab,kuichen,2414209,2021-06-03T10:52:32,2021-06-03T10:52:32,12,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 14111,,,
pughlab,kuichen,2414210,2021-06-03T10:53:00,2021-06-03T11:00:32,12,0:07:32,"billing=125,cpu=12,mem=500G,n+",1:30:24,,,,,,node96,1:00,FAILED,,,
pughlab,kuichen,2414211,2021-06-03T11:00:55,2021-06-03T11:08:26,12,0:07:31,"billing=125,cpu=12,mem=500G,n+",1:30:12,,,,,,node96,1:00,FAILED,,,
pughlab,kuichen,2414214,2021-06-03T11:05:04,2021-06-03T11:05:04,12,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 14111,,,
pughlab,kuichen,2414215,2021-06-03T11:08:55,2021-06-03T21:58:29,12,10:49:34,"billing=125,cpu=12,mem=500G,n+",5-09:54:48,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2420490,2021-06-03T17:09:26,2021-06-04T11:17:57,3,18:08:31,"billing=25,cpu=3,mem=100G,nod+",2-06:25:33,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2422500,2021-06-04T11:31:52,2021-06-05T09:44:12,3,22:12:20,"billing=25,cpu=3,mem=100G,nod+",2-18:37:00,,,,,,node96,0:00,COMPLETED,,,
pughlab,hshirley,2426146,2021-06-04T16:54:53,2021-06-04T16:54:53,1,0:00:00,"billing=50,cpu=1,mem=200G,nod+",0:00:00,,,,,,node96,127:00:00,FAILED,,,
pughlab,hshirley,2426147,2021-06-04T16:55:45,2021-06-04T17:37:34,1,0:41:49,"billing=50,cpu=1,mem=200G,nod+",0:41:49,,,,,,node96,0:00,COMPLETED,,,
pughlab,sayyadhu,2427707,2021-06-06T16:05:12,2021-06-06T16:06:01,4,0:00:49,"billing=50,cpu=4,mem=200G,nod+",0:03:16,,,,,,node96,1:00,FAILED,,,
pughlab,sayyadhu,2427708,2021-06-06T16:11:12,2021-06-06T16:13:15,4,0:02:03,"billing=50,cpu=4,mem=200G,nod+",0:08:12,,,,,,node96,1:00,FAILED,,,
pughlab,sayyadhu,2427709,2021-06-06T16:17:12,2021-06-06T16:23:01,4,0:05:49,"billing=50,cpu=4,mem=200G,nod+",0:23:16,,,,,,node96,1:00,FAILED,,,
pughlab,sayyadhu,2427713,2021-06-06T16:29:12,2021-06-06T16:48:32,4,0:19:20,"billing=50,cpu=4,mem=200G,nod+",1:17:20,,,,,,node96,1:00,FAILED,,,
pughlab,sayyadhu,2427730,2021-06-06T16:52:49,2021-06-06T17:12:13,5,0:19:24,"billing=75,cpu=5,mem=300G,nod+",1:37:00,,,,,,node96,1:00,FAILED,,,
pughlab,pluo,2427739,2021-06-06T17:08:13,2021-06-06T17:54:54,3,0:46:41,"billing=15,cpu=3,mem=60G,node+",2:20:03,,,,,,node96,1:00,FAILED,,,
pughlab,sayyadhu,2427761,2021-06-06T17:43:19,2021-06-06T17:51:37,5,0:08:18,"billing=75,cpu=5,mem=300G,nod+",0:41:30,,,,,,node96,1:00,FAILED,,,
pughlab,sayyadhu,2427779,2021-06-06T17:57:19,2021-06-06T18:00:48,5,0:03:29,"billing=75,cpu=5,mem=300G,nod+",0:17:25,,,,,,node96,1:00,FAILED,,,
pughlab,sayyadhu,2427799,2021-06-06T18:04:52,2021-06-06T18:08:22,5,0:03:30,"billing=75,cpu=5,mem=300G,nod+",0:17:30,,,,,,node96,1:00,FAILED,,,
pughlab,sayyadhu,2427802,2021-06-06T18:13:54,2021-06-06T18:17:24,5,0:03:30,"billing=75,cpu=5,mem=300G,nod+",0:17:30,,,,,,node96,1:00,FAILED,,,
pughlab,sayyadhu,2427807,2021-06-06T18:20:49,2021-06-06T18:26:23,5,0:05:34,"billing=75,cpu=5,mem=300G,nod+",0:27:50,,,,,,node96,1:00,FAILED,,,
pughlab,sayyadhu,2427809,2021-06-06T18:28:49,2021-06-06T18:34:30,5,0:05:41,"billing=75,cpu=5,mem=300G,nod+",0:28:25,,,,,,node96,0:00,COMPLETED,,,
pughlab,sayyadhu,2427826,2021-06-06T18:40:49,2021-06-06T21:36:46,5,2:55:57,"billing=75,cpu=5,mem=300G,nod+",14:39:45,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2427857,2021-06-06T20:30:09,2021-06-06T21:56:44,9,1:26:35,"billing=100,cpu=9,mem=400G,no+",12:59:15,,,,,,node96,0:00,COMPLETED,,,
pughlab,sayyadhu,2427903,2021-06-06T22:46:05,2021-06-06T22:47:32,5,0:01:27,"billing=75,cpu=5,mem=300G,nod+",0:07:15,,,,,,node96,1:00,FAILED,,,
pughlab,sayyadhu,2427904,2021-06-06T22:50:49,2021-06-06T22:52:15,5,0:01:26,"billing=75,cpu=5,mem=300G,nod+",0:07:10,,,,,,node96,1:00,FAILED,,,
pughlab,sayyadhu,2427905,2021-06-06T23:02:49,2021-06-06T23:04:15,5,0:01:26,"billing=75,cpu=5,mem=300G,nod+",0:07:10,,,,,,node96,1:00,FAILED,,,
pughlab,wderek,2427985,2021-06-07T08:46:52,2021-06-07T12:15:49,1,3:28:57,"billing=90,cpu=1,mem=360G,nod+",3:28:57,,,,,,node96,0:00,COMPLETED,,,
lupiengro+,kkornien,2428638,2021-06-07T10:10:22,2021-06-07T10:54:41,32,0:44:19,"billing=45,cpu=32,mem=180G,no+",23:38:08,,,,,,node96,0:00,CANCELLED by 27370,,,
lupiengro+,kkornien,2428644,2021-06-07T10:54:44,2021-06-07T10:54:44,32,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 27370,,,
lupiengro+,kkornien,2428721,2021-06-07T10:59:52,2021-06-07T11:06:29,32,0:06:37,"billing=45,cpu=32,mem=180G,no+",3:31:44,,,,,,node96,0:00,CANCELLED by 27370,,,
lupiengro+,kkornien,2428726,2021-06-07T11:06:39,2021-06-07T11:06:39,32,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 27370,,,
lupiengro+,kkornien,2428730,2021-06-07T11:11:52,2021-06-07T15:47:07,32,4:35:15,"billing=87,cpu=32,mem=350G,no+",6-02:48:00,,,,,,node96,0:00,COMPLETED,,,
pughlab,jdiazmej,2429791,2021-06-07T15:47:16,2021-06-09T01:45:46,10,1-09:58:30,"billing=150,cpu=10,mem=600G,n+",14-03:45:0,0,,,,,node96,0:00,COMPLETED,,,
lupiengro+,kkornien,2428962,2021-06-07T15:47:16,2021-06-07T21:05:16,32,5:18:00,"billing=87,cpu=32,mem=350G,no+",7-01:36:00,,,,,,node96,0.086805556,OUT_OF_MEMORY,,,
pughlab,sayyadhu,2431426,2021-06-07T15:47:16,2021-06-07T15:48:44,5,0:01:28,"billing=75,cpu=5,mem=300G,nod+",0:07:20,,,,,,node96,1:00,FAILED,,,
pughlab,pluo,2430995,2021-06-07T15:49:23,2021-06-08T09:40:26,3,17:51:03,"billing=25,cpu=3,mem=100G,nod+",2-05:33:09,,,,,,node96,0:00,COMPLETED,,,
pughlab,wderek,2429289,2021-06-07T15:49:23,2021-06-07T17:14:25,1,1:25:02,"billing=90,cpu=1,mem=360G,nod+",1:25:02,,,,,,node96,0:00,COMPLETED,,,
pughlab,sayyadhu,2431530,2021-06-07T17:15:23,2021-06-07T17:53:09,5,0:37:46,"billing=75,cpu=5,mem=300G,nod+",3:08:50,,,,,,node96,0:00,COMPLETED,,,
pughlab,sayyadhu,2431536,2021-06-07T17:53:16,2021-06-07T18:30:04,2,0:36:48,"billing=50,cpu=2,mem=200G,nod+",1:13:36,,,,,,node96,0:00,COMPLETED,,,
lupiengro+,kkornien,2431892,2021-06-07T21:05:16,2021-06-07T21:05:18,32,0:00:02,"billing=125,cpu=32,mem=500G,n+",0:01:04,,,,,,node96,0:00,COMPLETED,,,
lupiengro+,kkornien,2431968,2021-06-08T09:40:32,2021-06-09T01:40:40,32,16:00:08,"billing=187,cpu=32,mem=750G,n+",21-08:04:1,6,,,,,node96,0:00,COMPLETED,,,
bhklab,sejinkim,2433595,2021-06-08T19:48:05,2021-06-08T19:48:05,32,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 25588,,,
lupiengro+,kkornien,2431973,2021-06-09T01:41:17,2021-06-10T01:41:44,32,1-00:00:27,"billing=187,cpu=32,mem=750G,n+",32-00:14:2,4,,,,,node96,0:00,TIMEOUT,,,
pughlab,pluo,2444681,2021-06-10T00:31:17,2021-06-10T09:44:30,3,9:13:13,"billing=25,cpu=3,mem=100G,nod+",1-03:39:39,,,,,,node96,1:00,FAILED,,,
lupiengro+,kkornien,2444756,2021-06-10T08:40:05,2021-06-11T10:34:17,32,1-01:54:12,"billing=237,cpu=32,mem=950G,n+",34-12:54:2,4,,,,,node96,0:00,COMPLETED,,,
pughlab,kuichen,2449656,2021-06-11T10:40:35,2021-06-11T11:02:55,20,0:22:20,"billing=175,cpu=20,mem=700G,n+",7:26:40,,,,,,node96,0.086805556,OUT_OF_MEMORY,,,
pughlab,kuichen,2449667,2021-06-11T11:04:10,2021-06-11T11:27:19,20,0:23:09,"billing=175,cpu=20,mem=700G,n+",7:43:00,,,,,,node96,0:00,COMPLETED,,,
lupiengro+,kkornien,2449721,2021-06-11T12:43:14,2021-06-11T12:43:15,32,0:00:01,"billing=187,cpu=32,mem=750G,n+",0:00:32,,,,,,node96,2:00,FAILED,,,
lupiengro+,kkornien,2449722,2021-06-11T12:47:27,2021-06-11T12:48:03,32,0:00:36,"billing=187,cpu=32,mem=750G,n+",0:19:12,,,,,,node96,2:00,FAILED,,,
lupiengro+,kkornien,2451114,2021-06-11T20:46:31,2021-06-11T20:48:58,32,0:02:27,"billing=237,cpu=32,mem=950G,n+",1:18:24,,,,,,node96,0:00,CANCELLED by 27370,,,
lupiengro+,kkornien,2451121,2021-06-11T20:49:36,2021-06-11T20:53:20,32,0:03:44,"billing=237,cpu=32,mem=950G,n+",1:59:28,,,,,,node96,0:00,CANCELLED by 27370,,,
lupiengro+,kkornien,2451279,2021-06-12T16:34:06,2021-06-12T16:34:10,32,0:00:04,"billing=237,cpu=32,mem=950G,n+",0:02:08,,,,,,node96,0:00,COMPLETED,,,
lupiengro+,kkornien,2451282,2021-06-12T16:48:06,2021-06-12T17:23:49,32,0:35:43,"billing=237,cpu=32,mem=950G,n+",19:02:56,,,,,,node96,0:00,CANCELLED by 27370,,,
pughlab,hshirley,2451423,2021-06-13T15:42:11,2021-06-13T16:00:08,1,0:17:57,"billing=62,cpu=1,mem=250G,nod+",0:17:57,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2451431,2021-06-13T16:37:08,2021-06-14T09:15:05,3,16:37:57,"billing=25,cpu=3,mem=100G,nod+",2-01:53:51,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2451432,2021-06-13T16:48:33,2021-06-13T16:48:40,1,0:00:07,"billing=30,cpu=1,mem=120G,nod+",0:00:07,,,,,,node96,1:00,FAILED,,,
pughlab,pluo,2451465,2021-06-13T23:14:10,2021-06-13T23:18:10,1,0:04:00,"billing=30,cpu=1,mem=120G,nod+",0:04:00,,,,,,node96,1:00,FAILED,,,
pughlab,pluo,2451909,2021-06-14T11:59:11,2021-06-15T12:21:51,3,1-00:22:40,"billing=25,cpu=3,mem=100G,nod+",3-01:08:00,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2456376,2021-06-14T14:26:20,2021-06-14T14:30:11,1,0:03:51,"billing=30,cpu=1,mem=120G,nod+",0:03:51,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2456480,2021-06-14T15:23:22,2021-06-14T15:27:12,1,0:03:50,"billing=30,cpu=1,mem=120G,nod+",0:03:50,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2456679,2021-06-14T17:53:26,2021-06-14T17:57:14,1,0:03:48,"billing=25,cpu=1,mem=100G,nod+",0:03:48,,,,,,node96,0:00,COMPLETED,,,
lupiengro+,kkornien,2456749,2021-06-14T19:14:54,2021-06-14T19:14:55,32,0:00:01,"billing=237,cpu=32,mem=950G,n+",0:00:32,,,,,,node96,0:00,COMPLETED,,,
bhklab,quever,2463272,2021-06-15T09:27:02,2021-06-15T10:31:10,1,1:04:08,"billing=20,cpu=1,mem=80G,node+",1:04:08,27856188K,27856188K,0,node96,,node96,0:00,COMPLETED,,,
bhklab,quever,2464159,2021-06-15T11:55:02,2021-06-15T19:05:48,1,7:10:46,"billing=20,cpu=1,mem=80G,node+",7:10:46,64914184K,64914184K,0,node96,,node96,0:00,COMPLETED,,,
pughlab,hshirley,2465060,2021-06-15T12:44:45,2021-06-15T12:51:48,1,0:07:03,"billing=50,cpu=1,mem=200G,nod+",0:07:03,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2465356,2021-06-15T12:53:32,2021-06-15T12:59:39,1,0:06:07,"billing=50,cpu=1,mem=200G,nod+",0:06:07,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2465618,2021-06-15T13:02:32,2021-06-15T13:11:34,1,0:09:02,"billing=50,cpu=1,mem=200G,nod+",0:09:02,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2466052,2021-06-15T13:14:32,2021-06-15T13:17:43,1,0:03:11,"billing=50,cpu=1,mem=200G,nod+",0:03:11,,,,,,node96,0:00,COMPLETED,,,
pughlab,hshirley,2466268,2021-06-15T13:25:40,2021-06-15T13:28:50,1,0:03:10,"billing=50,cpu=1,mem=200G,nod+",0:03:10,,,,,,node96,0:00,COMPLETED,,,
pughlab,sayyadhu,2470795,2021-06-15T16:50:51,2021-06-15T16:59:32,2,0:08:41,"billing=60,cpu=2,mem=240G,nod+",0:17:22,,,,,,node96,0:00,CANCELLED by 27306,,,
pughlab,sayyadhu,2470802,2021-06-15T17:02:54,2021-06-16T17:03:16,2,1-00:00:22,"billing=60,cpu=2,mem=240G,nod+",2-00:00:44,,,,,,node96,0:00,TIMEOUT,,,
bhklab,quever,2470905,2021-06-15T21:48:41,2021-06-15T22:45:00,1,0:56:19,"billing=20,cpu=1,mem=80G,node+",0:56:19,38750000K,38750000K,0,node96,,node96,0:00,COMPLETED,,,
pughlab,pluo,2470951,2021-06-15T23:35:33,2021-06-16T17:00:49,3,17:25:16,"billing=25,cpu=3,mem=100G,nod+",2-04:15:48,,,,,,node96,0:00,COMPLETED,,,
pughlab,jdiazmej,2470954,2021-06-15T23:40:33,2021-06-15T23:40:37,20,0:00:04,"billing=150,cpu=20,mem=600G,n+",0:01:20,,,,,,node96,2:00,FAILED,,,
pughlab,jdiazmej,2470955,2021-06-15T23:46:56,2021-06-16T02:54:55,20,3:07:59,"billing=150,cpu=20,mem=600G,n+",2-14:39:40,,,,,,node96,1:00,FAILED,,,
bhklab,quever,2471042,2021-06-16T09:13:33,2021-06-16T09:24:59,1,0:11:26,"billing=20,cpu=1,mem=80G,node+",0:11:26,144399580K,144399580K,0,node96,,node96,1:00,FAILED,,,
bhklab,quever,2471049,2021-06-16T09:25:03,2021-06-16T11:07:32,1,1:42:29,"billing=22,cpu=1,mem=90G,node+",1:42:29,200304908K,200304908K,0,node96,,node96,0:00,COMPLETED,,,
pughlab,hshirley,2471531,2021-06-16T11:42:33,2021-06-16T11:42:50,1,0:00:17,"billing=75,cpu=1,mem=300G,nod+",0:00:17,,,,,,node96,1:00,FAILED,,,
bhklab,quever,2471570,2021-06-16T12:05:47,2021-06-16T15:34:44,1,3:28:57,"billing=20,cpu=1,mem=80G,node+",3:28:57,68949344K,68949344K,0,node96,,node96,0:00,COMPLETED,,,
pughlab,hshirley,2471575,2021-06-16T12:24:50,2021-06-16T15:15:01,1,2:50:11,"billing=75,cpu=1,mem=300G,nod+",2:50:11,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2472398,2021-06-16T12:49:33,2021-06-16T12:49:46,1,0:00:13,"billing=125,cpu=1,mem=500G,no+",0:00:13,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2472402,2021-06-16T12:52:03,2021-06-16T22:25:51,1,9:33:48,"billing=125,cpu=1,mem=500G,no+",9:33:48,,,,,,node96,0:00,COMPLETED,,,
bhklab,quever,2472705,2021-06-16T14:39:33,2021-06-16T15:56:04,1,1:16:31,"billing=20,cpu=1,mem=80G,node+",1:16:31,31195320K,31195320K,0,node96,,node96,0:00,COMPLETED,,,
bhklab,quever,2472710,2021-06-16T14:56:57,2021-06-16T17:08:31,1,2:11:34,"billing=20,cpu=1,mem=80G,node+",2:11:34,60458584K,60458584K,0,node96,,node96,0:00,COMPLETED,,,
pughlab,jdiazmej,2477411,2021-06-16T23:04:01,2021-06-17T00:29:50,20,1:25:49,"billing=150,cpu=20,mem=600G,n+",1-04:36:20,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2477413,2021-06-16T23:17:47,2021-06-16T23:18:02,1,0:00:15,"billing=75,cpu=1,mem=300G,nod+",0:00:15,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2477415,2021-06-16T23:26:34,2021-06-17T01:54:36,1,2:28:02,"billing=75,cpu=1,mem=300G,nod+",2:28:02,,,,,,node96,1:00,FAILED,,,
pughlab,pluo,2477419,2021-06-16T23:41:34,2021-06-16T23:41:34,3,12:00:50,"billing=25,cpu=3,mem=100G,nod+",1-12:02:30,,,,,,node96,0:00,RUNNING,,,
pughlab,pluo,2477420,2021-06-16T23:43:34,2021-06-17T04:00:22,3,4:16:48,"billing=25,cpu=3,mem=100G,nod+",12:50:24,,,,,,node96,0:00,COMPLETED,,,

